galactosylglycerol,3-beta-d-galactosyl-sn-glycerol
"(2R,3R,4S,5S,6R)-2-ethoxy-6-(hydroxymethyl)oxane-3,4,5-triol",ethyl d-glucopyranoside
β-indole-3-acetic acid,n6-acetyllysine
N6-acetyllysine,n6-acetyllysine
acetylputrescine,acetylputrescine
"2-aminoethoxy((2R)-2-hydroxy-3-[(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoyloxy]propoxy)phosphinic acid",1-arachidonyl-sn-glycero-3-phosphoethanolamine
"2-aminoethoxy(2R)-2-hydroxy-3-[(9Z,12Z)-octadeca-9,12-dienoyloxy]propoxyphosphinic acid",1-linoleoyl-sn-glycero-3-phosphoethanolamine
2-aminoethoxy(2R)-3-[(1Z)-hexadec-1-en-1-yloxy]-2-hydroxypropoxyphosphinic acid,1-(1z-hexadecenyl)-sn-glycero-3-phosphoethanolamine
"2-aminoethoxy(2R)-3-hydroxy-2-[(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoyloxy]propoxyphosphinic acid",1-hydroxy-2-arachidonoyl-sn-glycero-3-phosphoethanolamine
Glu-Glu,α-glutamylglutamate
"2-aminoethoxy(2R)-3-(hexadecanoyloxy)-2-[(9Z,12Z)-octadeca-9,12-dienoyloxy]propoxyphosphinic acid",2-linoleoyl-1-palmitoyl-sn-glycero-3-phosphatidylethanolamine
2-aminoethoxy((2R)-3-(hexadecanoyloxy)-2-[(9Z)-octadec-9-enoyloxy]propoxy)phosphinic acid,1-palmitoyl-2-oleoyl-gpe
2-aminoethoxy((2R)-2-(hexadecanoyloxy)-3-[(9Z)-octadec-9-enoyloxy]propoxy)phosphinic acid,1-oleoyl-2-palmitoyl-sn-glycero-3-phosphoethanolamine
methylthioadenosine,methylthioadenosine
adenylate,adenosine-monophosphate
adenosine-diphosphate,adenosine-5-diphosphate
2-(2-amino-3-carboxypropanamido)pentanedioic acid,aspartylglutamate
flavine-adenine dinucleotide,adenine-riboflavin dinuceotide
Gly-Gly,glycyl glycine
3-(indol-3-yl) lactate,indole-3-lactic acid
oleoylethanolamide,oleic acid ethanolamide
(2S)-2-[(2S)-2-amino-3-methylbutanamido]pentanedioic acid,valylglutamic acid
"(2-{[(2R)-2,3-dihydroxypropyl phosphono]oxy}ethyl)trimethylazanium",glycerol-3-phosphocholine
phosphorylethanolamine,2-aminoethyl phosphate
"3-methylcyclopentane-1,2-dione",cyclotene
2-keto-D-gluconic acid,2-oxogluconic acid
2-hydroxy-2-methylbutyric acid,2-hydroxy-2-methyl-butanoic acid
3-(indol-3-yl) lactate,indole-3-lactic acid
2-hydroxyisovaleric acid,2-hydroxy-3-methyl-butyric acid
2-hydroxy-3-methyl-valerate,2-hydroxy-3-methyl-pentanoic acid
3-hydroxyisovaleric acid,3-hydroxy-3-methylbutyric acid
methyl hexadecanoate,hexadecanoic acid methyl ester
methyl phosphate,methyl phosphate
β-indole-3-acetic acid,n6-acetyllysine
N6-acetyllysine,n6-acetyllysine
acetylserine,n-acetylserine
